"name_1006","GO_IDs","F0","F4","Healthy"
"caveolin-mediated endocytosis","GO:0072584","Q03135","Q03135","Q03135"
"cell adhesion","GO:0007155","Q16853, P07355, P12110, P12109, P12111, P11047, P04275, P07942, Q08380, Q16363, P14543, P02751, P55268, P13611","Q16853, P07355, P12110, P12109, P04275, P12111, P02751, P11047, P04004, P14543, P07942, P13611, Q16363, P16671, P04216, Q08380","Q16853, P12110, P12109, P12111, P07355, P11047, Q16363, P07942, P14543, P13611, P55268, P04275, P02751, Q08380"
"cell adhesion mediated by integrin","GO:0033627",NA,"P04004",NA
"cell adhesion molecule binding","GO:0050839","P02675, P02679, P02671","P02675, P02679, P02671","P02675, P02679, P02671"
"cell body","GO:0044297","P63267, P07437","P63267, P07437","P63267, P68032, P07437"
"cell body fiber","GO:0070852","P00966",NA,"P00966"
"cell chemotaxis","GO:0060326",NA,"P20160","P20160"
"cell cortex","GO:0005938","P02675, Q03135, O00159","P02675, Q03135, O00159","P02675, Q03135, O00159"
"cell differentiation","GO:0030154","P12109, P98160, Q03135","Q03135, P12109, P98160, P04004, P08962","P12109, P98160, Q03135"
"cell division","GO:0051301","Q9BQE3, P07437, Q00610","Q9BQE3, P07437","Q9BQE3, P07437"
"cell junction","GO:0030054","Q9NQC3","Q9NQC3","Q9NQC3"
"cell leading edge","GO:0031252","P08670","P08670","P08670"
"cell migration","GO:0016477","P11047, P07942","P11047, P04004, P07942, P08962","P11047, P07942"
"cell migration involved in vasculogenesis","GO:0035441","Q9NQC3","Q9NQC3","Q9NQC3"
"cell morphogenesis","GO:0000902","P12109, P55268","P12109","P12109, P55268"
"cell motility","GO:0048870","Q562R1","Q562R1","Q562R1"
"cell periphery","GO:0071944","P63267, P04275, P14543, P05783","P63267, P04275, P14543, P16671","P63267, P14543, P04275, P05783"
"cell population proliferation","GO:0008283","P84243, Q03135, Q14764","P84243, Q03135, Q14764","P84243, Q03135"
"cell projection","GO:0042995","P08670, Q9NQC3, O00159, P04083, P13611","Q9NQC3, P08670, O00159, P13611, P04083","P08670, Q9NQC3, P13611, O00159"
"cell recognition","GO:0008037","P13611","P13611","P13611"
"cell surface receptor signaling pathway","GO:0007166","P04083","P04083, P16671, P04216",NA
"cell-cell adhesion","GO:0098609","P07355, P04083, P05783","P07355, P04083, P04216","P07355, P05783"
"cell-cell signaling","GO:0007267",NA,"P04216",NA
"cell-matrix adhesion","GO:0007160","P02675, P02679, P02671, P07355, P14543, P02751","P02675, P02679, P02671, P07355, P02751, P04004, P14543, P08962","P02675, P02679, P02671, P07355, P14543, P02751"
"cell-substrate adhesion","GO:0031589","P04275","P04275","P04275"
"cell-substrate junction assembly","GO:0007044","P02751","P02751","P02751"
"cellular defense response","GO:0006968","Q08380","Q08380, O43866","O43866, Q08380"
"cellular detoxification of hydrogen peroxide","GO:0061692","P04040","P04040","P04040"
"cellular extravasation","GO:0045123",NA,"P20160","P20160"
"cellular oxidant detoxification","GO:0098869","P68871, P69905, P02768, P00738, P04040","P68871, P69905, P02768, P00738, P04040, P10620","P68871, P69905, P02768, P00738, P04040"
"cellular response to acetaldehyde","GO:1905641","P63267","P63267","P63267"
"cellular response to amine stimulus","GO:0071418","P00966",NA,"P00966"
"cellular response to amino acid stimulus","GO:0071230","P00966, P12109","P12109","P00966, P12109"
"cellular response to ammonium ion","GO:0071242","P00966",NA,"P00966"
"cellular response to amyloid-beta","GO:1904646","P02647","P16671","P02647"
"cellular response to arsenite ion","GO:1903843","P55072","P55072","P55072"
"cellular response to bacterial lipopeptide","GO:0071221",NA,"P16671",NA
"cellular response to cAMP","GO:0071320","P00966",NA,"P00966"
"cellular response to calcium ion starvation","GO:0072732","P02768","P02768","P02768"
"cellular response to diacyl bacterial lipopeptide","GO:0071726",NA,"P16671",NA
"cellular response to glucagon stimulus","GO:0071377","P00966",NA,"P00966"
"cellular response to glucocorticoid stimulus","GO:0071385","P04083","P04083",NA
"cellular response to growth factor stimulus","GO:0071363","P04040","P04040","P04040"
"cellular response to heat","GO:0034605","P55072","P55072","P55072"
"cellular response to hydroperoxide","GO:0071447",NA,"P16671",NA
"cellular response to hyperoxia","GO:0071455","Q03135","Q03135","Q03135"
"cellular response to hypoxia","GO:0071456","Q9NQC3","Q9NQC3","Q9NQC3"
"cellular response to interleukin-1","GO:0071347","P02675","P02675","P02675"
"cellular response to interleukin-4","GO:0071353","P49327","P49327","P49327"
"cellular response to interleukin-6","GO:0071354","P63267","P63267","P63267"
"cellular response to laminar fluid shear stress","GO:0071499","P00966",NA,"P00966"
"cellular response to leptin stimulus","GO:0044320","P02675","P02675","P02675"
"cellular response to lipid hydroperoxide","GO:0071449",NA,"P10620",NA
"cellular response to lipopolysaccharide","GO:0071222","P08670, P00966","P08670, P16671","P00966, P08670"
"cellular response to lipoprotein particle stimulus","GO:0071402","P02647",NA,"P02647"
"cellular response to lipoteichoic acid","GO:0071223",NA,"P16671",NA
"cellular response to low-density lipoprotein particle stimulus","GO:0071404",NA,"P16671",NA
"cellular response to misfolded protein","GO:0071218","Q03135, P55072","Q03135, P55072","Q03135, P55072"
"cellular response to muramyl dipeptide","GO:0071225","P08670","P08670","P08670"
"cellular response to oleic acid","GO:0071400","P00966",NA,"P00966"
"cellular response to oxidative stress","GO:0034599",NA,"P16671",NA
"cellular response to peptide hormone stimulus","GO:0071375","Q03135","Q03135","Q03135"
"cellular response to reactive oxygen species","GO:0034614",NA,NA,"P09493"
"cellular response to starvation","GO:0009267","P02768, Q03135","P02768, Q03135","Q9UKX3, P02768, Q03135"
"cellular response to tumor necrosis factor","GO:0071356","P00966",NA,"P00966"
"cellular response to type II interferon","GO:0071346","P08670, P00966, O00159","P08670, O00159","P00966, P08670, O00159"
"cellular response to vascular endothelial growth factor stimulus","GO:0035924","P04083","P04083",NA
"central nervous system development","GO:0007417","P13611","P13611","P13611"
"central nervous system vasculogenesis","GO:0022009","Q9NQC3","Q9NQC3","Q9NQC3"
"centriolar satellite","GO:0034451","Q00610, P05783",NA,"P05783"
"centrosome","GO:0005813","P16104, P25786","P16104, P25786","P16104, P25786"
