"name_1006","GO_IDs","F0","F4","Healthy"
"enoyl-[acyl-carrier-protein] reductase (NADPH) activity","GO:0141148","P49327","P49327","P49327"
"enterobactin binding","GO:1903981","P02768","P02768","P02768"
"enzyme binding","GO:0019899","P16104, P01023, P68366, P04040, Q03135, P07942, O75367, P02647","P16104, P01023, Q03135, P68366, O75367, P04040, P07942","P16104, P01023, P04040, P68366, P07942, Q03135, P02647"
"epidermis development","GO:0008544",NA,"P35527","P35527"
"epigenetic regulation of gene expression","GO:0040029","O75367","O75367",NA
"epithelial cell apoptotic process","GO:1904019","P07355","P07355","P07355"
"epithelial cell development","GO:0002064","P49327","P49327","P49327"
"epithelial cell differentiation","GO:0030855",NA,"P35527, P08962","P35527"
"epoxide hydrolase activity","GO:0004301","P07099","P07099","P07099"
"epoxide metabolic process","GO:0097176","P07099","P07099","P07099"
"erythrocyte development","GO:0048821","P68871, P69905","P68871, P69905, P02730","P68871, P69905"
"establishment of endothelial intestinal barrier","GO:0090557","P49327","P49327","P49327"
"establishment of localization in cell","GO:0051649","Q03135","Q03135","Q03135"
"establishment of protein localization","GO:0045184","P55072","P55072","P55072"
"establishment of protein localization to chromatin","GO:0071169","O75367","O75367",NA
"establishment of skin barrier","GO:0061436","P04264","P04264","P04264"
"ether hydrolase activity","GO:0016803","P07099","P07099","P07099"
"ether lipid biosynthetic process","GO:0008611","P49327","P49327","P49327"
"ether lipid metabolic process","GO:0046485","Q05469",NA,NA
"eukaryotic translation elongation factor 1 complex","GO:0005853","Q05639",NA,NA
"exogenous protein binding","GO:0140272","P02768","P02768","P02768"
"extracellular matrix","GO:0031012","P02675, P02679, P01023, P02671, P07355, P12110, P12109, P12111, P08758, P98160, P11047, P04275, P07942, Q08380, Q16363, P14543, P02751, P07585, P04083, P55268, P13611, P08133","P02675, P02679, P02671, P01023, P08246, P07355, P12110, P08758, P12109, P04275, P12111, P98160, P02751, P11047, P08133, P04004, P14543, P07942, P13611, Q16363, P04083, Q08380, P07585","P02675, P01023, P02679, P08246, P12110, P02671, P12109, P12111, P07355, P98160, P11047, Q16363, P07585, P07942, P14543, P13611, P55268, P08758, P04275, P02751, Q08380"
"extracellular matrix assembly","GO:0085029","P12109","P12109","P12109"
"extracellular matrix binding","GO:0050840","P14543, P07585","P04004, P14543, P07585","P07585, P14543"
"extracellular matrix constituent conferring elasticity","GO:0030023","P11047","P11047","P11047"
"extracellular matrix disassembly","GO:0022617","P11047","P08246, P11047","P08246, P11047"
"extracellular matrix organization","GO:0030198","P14543","P04004, P14543","P14543"
"extracellular matrix structural constituent","GO:0005201","P02675, P02679, P02671, P11047, P04275, P07942, Q16363, P14543, P02751, P55268","P02675, P02679, P02671, P04275, P02751, P11047, P04004, P14543, P07942, Q16363","P02675, P02679, P02671, P11047, Q16363, P07942, P14543, P55268, P04275, P02751"
"extracellular matrix structural constituent conferring compression resistance","GO:0030021","P98160, P07585, P13611","P98160, P13611, P07585","P98160, P07585, P13611"
"extracellular matrix structural constituent conferring tensile strength","GO:0030020","P12110, P12109, P12111","P12110, P12109, P12111","P12110, P12109, P12111"
"extracellular region","GO:0005576","P62805, P68871, P02675, P02792, P84243, P01871, P69905, P02768, P02679, P01023, P02794, P02671, P00738, P02511, P07355, P12110, P68366, P02788, P12109, P05164, P12111, P08758, P98160, P04040, P01876, P11047, P04264, P04275, Q13790, P07942, Q08380, Q16363, P14543, P02751, P07437, P07585, P28066, P20618, P13645, P55072, Q14764, O75874, P04083, P55268, P01859, P13611, P02647, P25787","P62805, P02675, P02679, P01871, P84243, P02671, P68871, P02792, P69905, P02794, P02768, P01023, P05164, P00738, P02788, P02511, P08246, P07355, P01876, P12110, P04264, P08758, P12109, P04275, P12111, P68366, Q14764, P98160, P04040, P02751, P11047, Q13790, P04004, P13645, P14543, P07942, P55072, P13611, P07437, Q16363, P04083, P01619, P06312, P08962, P20618, P28066, P04216, Q08380, P07585, O43866, P20160, P01591","P62805, P68871, P01871, P02792, P69905, P84243, P02675, P02768, P01023, P02794, P00738, P02511, P05164, P02788, P02679, P08246, P12110, P04264, P02671, P12109, P04040, P12111, P07355, P98160, P11047, P13645, P01876, P68366, Q16363, P07585, P07942, P14543, P06312, P13611, P55268, P01859, P08758, P04275, P01619, O43866, P28066, P01591, P02751, P07437, P02647, P01624, P20618, Q08380, P55072, P20160"
"extracellular space","GO:0005615","P68871, P02675, P01871, P63267, P69905, Q562R1, P02768, P02679, P01023, P02671, P00738, P07355, P12110, P02788, P05164, P12111, P98160, P04040, P01876, P11047, P62979, P04264, P04275, Q13790, P07942, Q08380, P02751, P07585, P13645, P04083, P01859, P13611, O95197, P02647","P02675, P02679, P01871, P02671, P68871, P63267, P69905, Q562R1, P02768, P01023, P05164, P00738, P02788, P62979, P08246, P07355, P01876, P12110, P04264, P04275, P12111, P35527, P98160, P04040, P02751, P11047, Q13790, P04004, P13645, P07942, O95197, P13611, P04083, P01619, P08962, P16671, Q08380, P07585, O43866, P20160, P01591","P68871, P01871, P69905, P63267, P02675, P02768, P01023, P00738, Q562R1, P05164, P02788, P02679, P08246, P06732, P12110, P04264, P02671, P04040, P12111, P07355, P35527, P98160, P11047, P13645, P01876, P68032, P07585, P07942, P13611, P01859, P04275, P01619, O43866, P62979, P01591, P02751, P02647, Q08380, P20160"
"extracellular vesicle","GO:1903561","P02675, P02671, P12110, P12111, Q00610, P02647","P02675, P02671, P12110, P12111","P02675, P12110, P02671, P12111, P02647"
"extrinsic apoptotic signaling pathway","GO:0097191","P05783",NA,"P05783"
"fatty acid binding","GO:0005504","P02768","P02768","P02768"
"fatty acid biosynthetic process","GO:0006633","P49327, P33121","P49327, P33121","P49327"
"fatty acid metabolic process","GO:0006631","P49327, P33121","P49327, P33121, P16671","P49327"
"fatty acid synthase activity","GO:0004312","P49327","P49327","P49327"
"fatty acid transport","GO:0015908","P33121","P33121, P16671",NA
"fatty-acyl-CoA biosynthetic process","GO:0046949","P49327","P49327","P49327"
"female meiosis I","GO:0007144",NA,NA,"A2RUB1"
"ferric iron binding","GO:0008199","P02792, P02794","P02792, P02794","P02792, P02794"
"ferrous iron binding","GO:0008198","P02792, P02794","P02792, P02794","P02792, P02794"
"ferroxidase activity","GO:0004322","P02794","P02794","P02794"
"fibrinogen complex","GO:0005577","P02675, P02679, P02671, P02751","P02675, P02679, P02671, P02751","P02675, P02679, P02671, P02751"
"fibrinolysis","GO:0042730","P02675, P02679, P02671, P07355, P04264","P02675, P02679, P02671, P07355, P04264","P02675, P02679, P04264, P02671, P07355"
"fibroblast proliferation","GO:0048144","Q03135","Q03135","Q03135"
"ficolin-1-rich granule lumen","GO:1904813","P68871, P02794, P04040, P04264, P28066, P20618, P55072, Q14764, O75874, P25787","P68871, P02794, P04264, Q14764, P04040, P55072, P20618, P28066","P68871, P02794, P04264, P04040, P28066, P20618, P55072"
"filamentous actin","GO:0031941","O00159","O00159","O00159"
"filopodium","GO:0030175","P63267","P63267","P63267, P68032"
"flavin adenine dinucleotide catabolic process","GO:0072389","P55072","P55072","P55072"
"focal adhesion","GO:0005925","P08670, P08758, P98160, P04040, Q03135, Q00610, P04083, P08133","P08670, P08758, Q03135, P98160, P04040, P08133, P04083, P04216","P08670, P04040, P98160, P68032, P08758, Q03135"
"focal adhesion assembly","GO:0048041",NA,"P04216",NA
"gene expression","GO:0010467","P12109","P12109","P12109"
"germline cell cycle switching, mitotic to meiotic cell cycle","GO:0051729",NA,NA,"A2RUB1"
"glandular epithelial cell differentiation","GO:0002067","Q03135","Q03135","Q03135"
"glial cell migration","GO:0008347","P13611","P13611, P20160","P13611, P20160"
"glomerular basement membrane development","GO:0032836","P14543","P14543","P14543"
"glomerular filtration","GO:0003094","P01876","P01876, P01619, P01591","P01876, P01619, P01591"
"glucocorticoid metabolic process","GO:0008211","P02647",NA,"P02647"
"glucose 1-phosphate metabolic process","GO:0019255",NA,NA,"Q16851"
"glucose catabolic process to lactate via pyruvate","GO:0019661","P00338",NA,"P00338"
"glutamatergic synapse","GO:0098978","Q562R1, Q9NQC3, P55072","Q562R1, Q9NQC3, P55072, P04216","Q562R1, Q9NQC3, P68032, P55072"
"glutathione metabolic process","GO:0006749","P02511, O75874","P02511","P02511"
"glutathione peroxidase activity","GO:0004602",NA,"P10620",NA
"glutathione transferase activity","GO:0004364",NA,"P10620",NA
"glutathione transport","GO:0034635",NA,"P10620",NA
"glycogen biosynthetic process","GO:0005978",NA,NA,"Q16851"
"glycogen metabolic process","GO:0005977",NA,NA,"Q16851"
"glycolytic process","GO:0006096","P12109, P00338","P12109","P12109, P00338"
"glycosaminoglycan binding","GO:0005539","P07585, P13611","P13611, P07585","P07585, P13611"
"glycosphingolipid binding","GO:0043208","P07942","P07942","P07942"
"glyoxylate cycle","GO:0006097","O75874",NA,NA
"granulocyte chemotaxis","GO:0071621","P04083","P04083",NA
"growth cone","GO:0030426",NA,"P04216",NA
"growth factor binding","GO:0019838","P01023","P01023","P01023"
"hair follicle development","GO:0001942","P12109","P12109","P12109"
"haptoglobin binding","GO:0031720","P68871, P69905","P68871, P69905","P68871, P69905"
"haptoglobin-hemoglobin complex","GO:0031838","P68871, P69905, P00738","P68871, P69905, P00738","P68871, P69905, P00738"
"heart contraction","GO:0060047",NA,NA,"P68032"
"heart development","GO:0007507","P12109, P02751","P12109, P02751","P12109, P02751"
"heat shock protein binding","GO:0031072","P02647",NA,"P02647"
"heme binding","GO:0020037","P68871, P69905, P05164, P04040","P68871, P69905, P05164, P04040","P68871, P69905, P05164, P04040"
"hemidesmosome assembly","GO:0031581","P11047","P11047","P11047"
"hemoglobin alpha binding","GO:0031721","P68871","P68871","P68871"
"hemoglobin binding","GO:0030492","P68871, P00738","P68871, P00738, P02730","P68871, P00738"
"hemoglobin complex","GO:0005833","P68871, P69905","P68871, P69905","P68871, P69905"
"hemoglobin metabolic process","GO:0020027","P04040","P04040","P04040"
"hemostasis","GO:0007599","P02675, P02679, P02671, P08758, P04275","P02675, P02679, P02671, P08758, P04275","P02675, P02679, P02671, P08758, P04275"
"heparan sulfate proteoglycan binding","GO:0043395",NA,"P20160","P20160"
"heparin binding","GO:0008201","P02788, P05164, P02751","P05164, P02788, P08246, P02751, P04004, P20160","P05164, P02788, P08246, P02751, P20160"
"hepatocyte apoptotic process","GO:0097284","P05783",NA,"P05783"
"heterochromatin formation","GO:0031507","P16104, O75367","P16104, O75367, Q8IUE6","P16104"
"heterotrimeric G-protein complex","GO:0005834","Q9HAV0","Q9HAV0",NA
"heterotypic cell-cell adhesion","GO:0034113",NA,"P04216",NA
"hexameric IgM immunoglobulin complex","GO:0071757","P01871","P01871","P01871"
"high-density lipoprotein particle","GO:0034364","Q13790, P02647","Q13790","P02647"
"high-density lipoprotein particle assembly","GO:0034380","P02647",NA,"P02647"
"high-density lipoprotein particle binding","GO:0008035","P02647","P16671","P02647"
"high-density lipoprotein particle clearance","GO:0034384","P02647",NA,"P02647"
"high-density lipoprotein particle receptor binding","GO:0070653","P02647",NA,"P02647"
"high-density lipoprotein particle remodeling","GO:0034375","P02647",NA,"P02647"
"histone binding","GO:0042393","P16104","P16104","P16104"
"homeostasis of number of cells","GO:0048872","P12109","P12109","P12109"
"humoral immune response","GO:0006959","P02788","P02788, P01591","P02788, P01591"
"hyaluronic acid binding","GO:0005540","P13611","P13611","P13611"
"hydrocarbon catabolic process","GO:0120253","P07099","P07099","P07099"
"hydrogen peroxide catabolic process","GO:0042744","P68871, P69905, P05164, P04040","P68871, P69905, P05164, P04040","P68871, P69905, P05164, P04040"
"hydrolase activity","GO:0016787","P63267, P49327, Q9BQE3, P68366, P02788, Q9NZN4, P07099, Q05639, Q9ULA0, P55072, Q05469","P63267, P02788, P08246, Q9BQE3, P49327, P07099, P68366, Q9NZN4, P55072","P63267, P02788, P08246, Q9BQE3, P49327, P68032, Q9NZN4, P68366, P07099, P28072, P55072"
"hypochlorous acid biosynthetic process","GO:0002149","P05164","P05164","P05164"
"identical protein binding","GO:0042802","P02792, Q16853, P02768, P02794, P49327, P02511, P07355, P08670, P00966, Q9NZN4, P04040, O14818, Q03135, P04275, P02751, Q00266, Q9ULA0, P55072, Q14764, O75874, P07195, P00338, P02647, P08133","P02792, Q16853, P02794, P02768, P02511, P07355, P08670, P49327, Q03135, P04275, Q14764, O14818, Q9NZN4, P04040, P02751, P08133, P04004, P55072","P02792, P02768, P02794, P02511, P00966, Q16853, P08670, P49327, P04040, P09493, P07355, Q9NZN4, O14818, P04275, Q03135, P07195, P02751, P02647, P00338, Q16851, P55072"
"immune response","GO:0006955","P01871, P02794, P01876","P01871, P02794, P01876, P04004, P01619, P06312, P01591","P01871, P02794, P01876, P06312, P01619, P01591, P01624"
"immune system process","GO:0002376","P02675, P01871, P02671, P00738, P02788, P01876, P25786, P04083, P01859","P02675, P01871, P02671, P00738, P02788, P01876, P04083, P01619, P06312, P25786, O43866","P01871, P02675, P00738, P02788, P02671, P01876, P06312, P01859, P01619, O43866, P25786, P01624"
"immunoglobulin binding","GO:0019865","P04275","P04275","P04275"
"immunoglobulin complex","GO:0019814","P01871, P01876, P01859","P01871, P01876, P01619, P06312","P01871, P01876, P06312, P01859, P01619, P01624"
"immunoglobulin complex, circulating","GO:0042571","P01876, P01859","P01876","P01876, P01859"
"immunoglobulin receptor binding","GO:0034987","P01871, P01876, P01859","P01871, P01876, P01591","P01871, P01876, P01859, P01591"
"induction of bacterial agglutination","GO:0043152","P02675, P02671","P02675, P02671","P02675, P02671"
"induction of positive chemotaxis","GO:0050930",NA,"P20160","P20160"
"inflammatory response","GO:0006954","P68871, P69905, Q16853, P00738, P49327, P12109, P98160, P04083","P68871, Q16853, P69905, P00738, P49327, P12109, P98160, P04083, O43866, P20160","P68871, P69905, P00738, Q16853, P12109, P49327, P98160, O43866, P20160"
"innate immune response","GO:0045087","P02675, P01871, P02671, P04083","P02675, P01871, P02671, P04083, P01591","P01871, P02675, P02671, P01591"
"innate immune response in mucosa","GO:0002227","P02788","P02788","P02788"
"inner kinetochore","GO:0000939","P84243","P84243","P84243"
"insulin receptor signaling pathway","GO:0008286","P12109","P12109","P12109"
"insulin-like growth factor receptor signaling pathway","GO:0048009","P12109","P12109","P12109"
"integrin activation","GO:0033622","P02751","P02751","P02751"
"integrin binding","GO:0005178","P04275, P07942, P02751, P55268","P04275, P02751, P04004, P07942, P04216","P07942, P55268, P04275, P02751"
"integrin-mediated signaling pathway","GO:0007229","P02751, P02647","P02751, P04004, P04216","P02751, P02647"
"intercalated disc","GO:0014704",NA,NA,"P12882"
"intercellular bridge","GO:0045171","P07437, Q9BUF5","P07437, Q9BUF5","P07437, Q9BUF5"
"interleukin-1 binding","GO:0019966","P01023","P01023","P01023"
"interleukin-8 binding","GO:0019959","P01023","P01023","P01023"
"intermediate filament","GO:0005882","P08670, P04264, P13645, P05783","P04264, P08670, P35527, P13645","P08670, P04264, P35527, P13645, P05783"
"intermediate filament cytoskeleton","GO:0045111","P08670","P08670","P08670"
"intermediate filament cytoskeleton organization","GO:0045104","P05783",NA,"P05783"
"intermediate filament organization","GO:0045109","P08670, P04264, P13645","P04264, P08670, P35527, P13645","P08670, P04264, P35527, P13645"
"intermediate filament-based process","GO:0045103","P08670","P08670","P08670"
"interphotoreceptor matrix","GO:0033165","P13611","P13611","P13611"
"intestinal absorption","GO:0050892",NA,"P16671",NA
"intestinal cholesterol absorption","GO:0030299",NA,"P16671",NA
"intracellular calcium ion homeostasis","GO:0006874","Q03135","P08246, Q03135","P08246, O14983, Q03135"
"intracellular iron ion homeostasis","GO:0006879","P02792, P02794","P02792, P02794","P02792, P02794"
"intracellular membrane-bounded organelle","GO:0043231","P55072","P55072","P55072"
"intracellular monoatomic ion homeostasis","GO:0006873",NA,"P02730",NA
"intracellular nitric oxide homeostasis","GO:0033484","Q03135","Q03135","Q03135"
"intracellular protein transport","GO:0006886","Q00610",NA,NA
"intracellular signal transduction","GO:0035556",NA,"P20160","P20160"
"intracellular sphingolipid homeostasis","GO:0090156","Q9NQC3","Q9NQC3","Q9NQC3"
"intracellular vesicle","GO:0097708","P12109","P12109","P12109"
"iron ion binding","GO:0005506","P02792, P69905, P02794, P02788, P00439","P02792, P69905, P02794, P02788","P02792, P69905, P02794, P02788"
"iron ion transport","GO:0006826","P02792, P02794, P02788","P02792, P02794, P02788","P02792, P02794, P02788"
"isocitrate dehydrogenase (NADP+) activity","GO:0004450","O75874",NA,NA
"isocitrate metabolic process","GO:0006102","O75874",NA,NA
"isomerase activity","GO:0016853","Q8IYT4","Q8IYT4","Q8IYT4"
"katanin complex","GO:0008352","Q8IYT4","Q8IYT4","Q8IYT4"
"keratin filament","GO:0045095","P04264, P13645, P05783","P04264, P35527, P13645","P04264, P35527, P13645, P05783"
"keratin filament binding","GO:1990254","P08670","P08670","P08670"
"keratinization","GO:0031424","P04264","P04264","P04264"
"keratinocyte differentiation","GO:0030216","P13645, P04083","P13645, P04083","P13645"
"kidney development","GO:0001822","P00966, P04040","P04040","P00966, P04040"
"killing of cells of another organism","GO:0031640","P02788","P02788","P02788"
"kinase activity","GO:0016301",NA,NA,"P06732"
"kinase binding","GO:0019900","P07195",NA,"P07195"
"lactate dehydrogenase activity","GO:0004457","P07195, P00338",NA,"P07195, P00338"
"lactate metabolic process","GO:0006089","P07195, P00338",NA,"P07195, P00338"
"lactation","GO:0007595","Q03135","Q03135","Q03135"
"lamellipodium","GO:0030027","P63267","P63267","P63267, P68032"
"laminin binding","GO:0043236","P14543","P14543","P14543"
"laminin complex","GO:0043256","P07942, P55268","P07942","P07942, P55268"
"laminin-1 binding","GO:0043237","P14543","P14543","P14543"
"laminin-1 complex","GO:0005606","P11047, P07942","P11047, P07942","P11047, P07942"
"laminin-10 complex","GO:0043259","P11047, P07942","P11047, P07942","P11047, P07942"
"laminin-11 complex","GO:0043260","P11047, P55268","P11047","P11047, P55268"
"laminin-2 complex","GO:0005607","P07942","P07942","P07942"
"laminin-3 complex","GO:0005608","P55268",NA,"P55268"
"laminin-8 complex","GO:0043257","P07942","P07942","P07942"
"late endosome","GO:0005770",NA,"P08962",NA
"late endosome membrane","GO:0031902","P07355, P08133","P07355, P08133, P08962","P07355"
"lens development in camera-type eye","GO:0002088","P02511","P02511","P02511"
"leukocyte migration","GO:0050900",NA,"P08246","P08246"
"leukocyte migration involved in inflammatory response","GO:0002523","Q9NQC3","P08246, Q9NQC3","P08246, Q9NQC3"
"ligand-gated monoatomic ion channel activity","GO:0015276","P08133","P08133",NA
"ligase activity","GO:0016874","P00966, P33121","P33121","P00966"
"linoleic acid metabolic process","GO:0043651","P33121","P33121",NA
"lipase activity","GO:0016298","Q05469",NA,NA
"lipid binding","GO:0008289","P02768, P55072, P04083, P02647, P08133","P02768, P08133, P55072, P04083, P16671","P02768, P02647, P55072"
"lipid biosynthetic process","GO:0008610","P49327, P33121","P49327, P33121","P49327"
"lipid catabolic process","GO:0016042","Q05469",NA,NA
"lipid droplet","GO:0005811","P07355, Q03135, P55072, Q05469","P07355, Q03135, P55072","P07355, Q03135, P55072"
"lipid metabolic process","GO:0006629","P49327, P98160, P00325, Q13790, P07099, P33121, Q05469, P02647","P49327, P07099, P98160, Q13790, P00325, P33121, P16671","P49327, P98160, P07099, P02647, P00325"
"lipid storage","GO:0019915","Q03135, P02647","Q03135, P16671","Q03135, P02647"
"lipid transport","GO:0006869","Q13790, P02647","Q13790, P16671","P02647"
"lipid transport across blood-brain barrier","GO:1990379",NA,"P16671",NA
"lipid transporter activity","GO:0005319","Q13790, P02647","Q13790","P02647"
"lipopolysaccharide binding","GO:0001530","P02788, P25786, P28070","P02788, P28070, P25786","P02788, P25786, P28070"
"lipoprotein metabolic process","GO:0042157","P02647",NA,"P02647"
"lipoprotein particle binding","GO:0071813","P02647","P16671","P02647"
"lipoprotein transport","GO:0042953",NA,"P16671",NA
"lipoteichoic acid immune receptor activity","GO:0070892",NA,"P16671",NA
"liver development","GO:0001889","P00966",NA,"P00966"
"liver regeneration","GO:0097421",NA,"P04004",NA
"long-chain fatty acid import across plasma membrane","GO:0015911",NA,"P16671",NA
"long-chain fatty acid import into cell","GO:0044539","P33121","P33121, P16671",NA
"long-chain fatty acid metabolic process","GO:0001676","P33121","P33121",NA
"long-chain fatty acid transmembrane transporter activity","GO:0005324",NA,"P16671",NA
"long-chain fatty acid transport","GO:0015909",NA,"P16671",NA
"long-chain fatty acid-CoA ligase activity","GO:0004467","P33121","P33121",NA
"long-chain fatty-acyl-CoA biosynthetic process","GO:0035338","P33121","P33121",NA
"low-density lipoprotein particle","GO:0034362","Q13790, P02647","Q13790","P02647"
"low-density lipoprotein particle binding","GO:0030169",NA,"P16671",NA
"low-density lipoprotein particle clearance","GO:0034383",NA,"P16671",NA
"low-density lipoprotein particle mediated signaling","GO:0055096",NA,"P16671",NA
"low-density lipoprotein particle receptor activity","GO:0005041",NA,"P16671",NA
"low-density lipoprotein particle receptor binding","GO:0050750","P98160, Q00610","P98160","P98160"
"low-density lipoprotein particle remodeling","GO:0034374","P05164","P05164","P05164"
"lung alveolus development","GO:0048286","P12109","P12109","P12109"
"lung development","GO:0030324","P07355, P12109","P07355, P12109","P12109, P07355"
"lung epithelial cell differentiation","GO:0060487","P12109","P12109","P12109"
"lung morphogenesis","GO:0060425","P12109","P12109","P12109"
"lyase activity","GO:0016829","P49327","P49327","P49327"
"lysosomal lumen","GO:0043202","P98160, P07585, P13611","P98160, P13611, P07585","P98160, P07585, P13611"
"lysosomal membrane","GO:0005765","P07355, P12109, Q9HAV0, P08133","P07355, P12109, P08133, Q9HAV0, P08962","P12109, P07355"
"lysosome","GO:0005764","P02792, P02794, P02511, P12109, P05164, Q00610","P02792, P02794, P05164, P02511, P12109, P08962","P02792, P02794, P02511, P05164, P12109"
"mRNA stabilization","GO:0048255",NA,NA,"A2RUB1"
"mRNA transcription by RNA polymerase II","GO:0042789","P07355","P07355","P07355"
"mRNA transport","GO:0051028","Q14764","Q14764",NA
"macroautophagy","GO:0016236","P55072","P55072","P55072"
"macrophage chemotaxis","GO:0048246",NA,"P20160","P20160"
"maintenance of blood-brain barrier","GO:0035633","P11047","P11047","P11047"
"maintenance of mitochondrion location","GO:0051659",NA,NA,"O14983"
"maintenance of protein location in cell","GO:0032507","Q03135","Q03135","Q03135"
"male germ cell nucleus","GO:0001673","P16104","P16104","P16104"
"male meiosis I","GO:0007141",NA,NA,"A2RUB1"
"mammary gland development","GO:0030879","P49327, Q03135","P49327, Q03135","P49327, Q03135"
"mammary gland involution","GO:0060056","Q03135","Q03135","Q03135"
"meiotic cell cycle","GO:0051321","P16104","P16104","P16104, A2RUB1"
"meiotic spindle organization","GO:0000212","Q8IYT4","Q8IYT4","Q8IYT4"
"membrane","GO:0016020","P62805, P02792, P01871, P69905, Q16853, Q562R1, P49327, P07355, P08670, P12110, Q9NQC3, Q9NZN4, P12109, P08758, P04040, P01876, Q03135, P62979, P04264, Q08380, P07099, P33121, O00159, P49721, Q00610, Q05639, P13645, Q14764, P07195, P04083, Q05469, P01859, P13611, P00338, O95197, P08133","P62805, P01871, P02792, Q16853, P69905, Q562R1, P62979, P07355, Q9NQC3, P01876, P12110, P04264, P08670, P08758, P49327, Q03135, P12109, P07099, P35527, Q14764, Q9NZN4, P04040, P08133, P13645, O95197, O00159, P13611, P04083, P02730, P01619, P06312, P10620, P33121, P49721, P08962, P16671, P04216, Q08380, O43866, P20160","P62805, P01871, P02792, P69905, Q562R1, Q16853, P08670, P12110, P04264, P12109, P49327, P04040, Q9NQC3, P07355, P35527, P13645, P01876, P68032, Q9NZN4, O14983, P06312, P13611, P07099, P01859, P08758, P01619, O43866, P62979, Q03135, P07195, O00159, P49721, P00338, P01624, Q08380, P20160"
"membrane depolarization","GO:0051899","Q03135","Q03135","Q03135"
"membrane destabilizing activity","GO:0140912","P02788","P02788","P02788"
"membrane raft","GO:0045121","P07355, Q03135, P07437, O00159, P07195","P07355, Q03135, O00159, P07437, P16671, P04216","P07355, Q03135, P07195, O00159, P07437"
"membrane raft assembly","GO:0001765","P07355","P07355","P07355"
"mesenchyme migration","GO:0090131","P63267","P63267","P63267, P68032"
"metal ion binding","GO:0046872","P68871, P02792, P69905, Q16853, P02768, P02679, P02794, P02671, P02511, P00326, Q9BQE3, Q9NQC3, P68366, P02788, Q9NZN4, P05164, P98160, P04040, P00325, P62979, P07437, Q9BUF5, Q00266, P00439, Q05639, Q9ULA0, O75874, P04083","P02679, P02671, P68871, P02792, Q16853, P69905, P02794, P02768, P05164, P02788, P02511, P62979, Q9NQC3, P00326, Q9BQE3, P68366, P98160, Q9NZN4, P04040, P00325, P07437, P04083, Q9BUF5","P68871, P02792, P69905, P02768, P02794, P02511, P05164, P02788, P02679, Q16853, P02671, Q9BQE3, P04040, P00326, Q9NQC3, P98160, Q9NZN4, P68366, O14983, P62979, P07437, Q16851, P00325, Q9BUF5"
"metallopeptidase activity","GO:0008237","Q9ULA0",NA,NA
"metanephric glomerular basement membrane development","GO:0072274","P55268",NA,"P55268"
"metanephric podocyte development","GO:0072249","P55268",NA,"P55268"
"metaphase chromosome alignment","GO:0051310",NA,NA,"A2RUB1"
"methionine adenosyltransferase activity","GO:0004478","Q00266",NA,NA
"methionine adenosyltransferase complex","GO:0048269","Q00266",NA,NA
"methionine catabolic process","GO:0009087","Q00266",NA,NA
"microfilament motor activity","GO:0000146","O00159","O00159","Q9Y623, P13535, Q9UKX3, P12882, P68032, O00159"
"microglial cell activation","GO:0001774",NA,"P20160","P20160"
"microtubule","GO:0005874","Q9BQE3, P68366, P07437, Q9BUF5, Q8IYT4","Q9BQE3, P68366, Q8IYT4, P07437, Q9BUF5","Q9BQE3, P68366, Q8IYT4, P07437, Q9BUF5"
"microtubule binding","GO:0008017","P02511, Q8IYT4","P02511, Q8IYT4","P02511, Q8IYT4"
"microtubule cytoskeleton","GO:0015630","Q9BQE3, P68366, P07437, Q9BUF5, Q8IYT4","Q9BQE3, P68366, Q8IYT4, P07437, Q9BUF5","Q9BQE3, P68366, Q8IYT4, P07437, Q9BUF5"
"microtubule cytoskeleton organization","GO:0000226","Q9BQE3, P68366, P07437, Q9BUF5","Q9BQE3, P68366, P07437, Q9BUF5","Q9BQE3, P68366, P07437, Q9BUF5"
"microtubule organizing center","GO:0005815","P08670, P05783","P08670","P08670, P05783"
"microtubule polymerization or depolymerization","GO:0031109","P02511","P02511","P02511"
"microtubule severing","GO:0051013","Q8IYT4","Q8IYT4","Q8IYT4"
"microtubule-based process","GO:0007017","Q9BQE3, P68366, P07437, Q9BUF5","Q9BQE3, P68366, P07437, Q9BUF5","Q9BQE3, P68366, P07437, Q9BUF5"
"microvillus","GO:0005902","Q16853, O00159","Q16853, O00159","Q16853, O00159"
"midbody","GO:0030496","P07355","P07355","P07355"
"midgut development","GO:0007494","P00966",NA,"P00966"
"mitochondrial calcium ion homeostasis","GO:0051560","P08133","P08133",NA
"mitochondrial depolarization","GO:0051882","P12109","P12109","P12109"
"mitochondrial inner membrane","GO:0005743","P07195",NA,"P07195"
"mitochondrial outer membrane","GO:0005741","P00966, P62979, P33121","P62979, P10620, P33121","P00966, P62979"
"mitochondrial transmembrane transport","GO:1990542","P12109","P12109","P12109"
"mitochondrion","GO:0005739","P02511, P00966, P12109, P60900, P04040, P33121, P28070, O75874, P07195, P00338, P08133","P02511, P12109, P60900, P04040, P08133, P28070, P10620, P33121","P02511, P00966, P12109, P04040, P60900, O14983, P28070, P07195, P28072, P00338"
"mitochondrion organization","GO:0007005","P12109","P12109","P12109"
"mitotic cell cycle","GO:0000278","Q9BQE3, P68366, P07437, Q9BUF5, Q00610","Q9BQE3, P68366, P07437, Q9BUF5","Q9BQE3, P68366, P07437, Q9BUF5"
