"name_1006","GO_IDs","Proteins","NumProteins_F4","ONTOLOGY"
"protein binding","GO:0005515","H4 - H2AX - FIBB - FIBG - IGHM - H33 - FIBA - HBB - FRIL - AOC3 - HBA - FRIH - ACTBL - ALBU - A2MG - PERM - HPT - TRFL - CRYAB - RS27A - ELNE - ANXA2 - RTN4 - CO6A2 - ADH1G - K2C1 - VIME - TBA1C - ANXA5 - FAS - CAV1 - CO6A1 - HYEP - VWF - CO6A3 - PSA6 - TBA4A - H2AY - H2A2B - MVP - PGBM - PSA7 - EHD2 - FINC - APOF - ADH1B - ANXA6 - PSA4 - VTNC - K1C10 - KATL2 - LAMB1 - PSB4 - RTN3 - MYO1C - TERA - CSPG2 - TBB5 - LAMA4 - ANXA1 - B3AT - TBB6 - MGST1 - PSB2 - GBB4 - CD63 - CD36 - PSA1 - PSB1 - PSA5 - THY1 - LG3BP - PGS2 - CAP7 - PSA3",75,"MF"
"extracellular region","GO:0005576","H4 - FIBB - FIBG - IGHM - H33 - FIBA - HBB - FRIL - HBA - FRIH - ALBU - A2MG - PERM - HPT - TRFL - CRYAB - ELNE - ANXA2 - IGHA1 - CO6A2 - K2C1 - ANXA5 - CO6A1 - VWF - CO6A3 - TBA4A - MVP - PGBM - CATA - FINC - LAMC1 - APOF - VTNC - K1C10 - NID1 - LAMB1 - TERA - CSPG2 - TBB5 - LAMA4 - ANXA1 - KV320 - KV401 - CD63 - PSB1 - PSA5 - THY1 - LG3BP - PGS2 - CD5L - CAP7 - IGJ",52,"CC"
"cytoplasm","GO:0005737","FRIL - AOC3 - ACTH - FRIH - ACTBL - ALBU - TRFL - CRYAB - RS27A - ELNE - ANXA2 - ADH1G - K2C1 - VIME - TBA1C - ANXA5 - FAS - PSA6 - TBA4A - MVP - PSA7 - EHD2 - CATA - ADH1B - ANXA6 - PSA4 - K1C10 - KATL2 - LAMB1 - PSB4 - MYO1C - TERA - TBB5 - ANXA1 - B3AT - TBB6 - PSB2 - GBB4 - PSA1 - PSB1 - PSA5 - CD5L - PSA3",43,"CC"
"extracellular space","GO:0005615","FIBB - FIBG - IGHM - FIBA - HBB - ACTH - HBA - ACTBL - ALBU - A2MG - PERM - HPT - TRFL - RS27A - ELNE - ANXA2 - IGHA1 - CO6A2 - K2C1 - VWF - CO6A3 - K1C9 - PGBM - CATA - FINC - LAMC1 - APOF - VTNC - K1C10 - LAMB1 - RTN3 - CSPG2 - ANXA1 - KV320 - CD63 - CD36 - LG3BP - PGS2 - CD5L - CAP7 - IGJ",41,"CC"
"membrane","GO:0016020","H4 - IGHM - FRIL - AOC3 - HBA - ACTBL - RS27A - ANXA2 - RTN4 - IGHA1 - CO6A2 - K2C1 - VIME - ANXA5 - FAS - CAV1 - CO6A1 - HYEP - K1C9 - MVP - EHD2 - CATA - ANXA6 - K1C10 - RTN3 - MYO1C - CSPG2 - ANXA1 - B3AT - KV320 - KV401 - MGST1 - ACSL1 - PSB2 - CD63 - CD36 - THY1 - LG3BP - CD5L - CAP7",40,"CC"
"nucleus","GO:0005634","H4 - H2AX - H37 - H33 - FRIH - ALBU - PERM - TRFL - CRYAB - RS27A - ANXA2 - K2C1 - VIME - TBA1C - PSA6 - K1C9 - H2AY - H2A2B - MVP - PSA7 - EHD2 - ANXA6 - PSA4 - K1C10 - LAMB1 - PSB4 - MYO1C - TERA - TBB5 - ANXA1 - TBB6 - PSB2 - PSA1 - PSB1 - PSA5 - PSA3",36,"CC"
"cytosol","GO:0005829","HBB - FRIL - ACTH - HBA - FRIH - CRYAB - RS27A - ELNE - ANXA2 - ADH1G - K2C1 - VIME - ANXA5 - FAS - PSA6 - TBA4A - K1C9 - MVP - PSA7 - EHD2 - CATA - ADH1B - PSA4 - K1C10 - PSB4 - MYO1C - TERA - TBB5 - ANXA1 - PSB2 - GBB4 - PSA1 - PSB1 - PSA5 - PSA3",35,"CC"
"plasma membrane","GO:0005886","FIBB - FIBG - IGHM - FIBA - AOC3 - TRFL - CRYAB - RS27A - ANXA2 - RTN4 - IGHA1 - ADH1G - K2C1 - VIME - FAS - CAV1 - PGBM - EHD2 - FINC - ADH1B - ANXA6 - RTN3 - MYO1C - ANXA1 - B3AT - KV320 - KV401 - MGST1 - CD63 - CD36 - THY1 - CD5L",32,"CC"
"extracellular matrix","GO:0031012","FIBB - FIBG - FIBA - A2MG - ELNE - ANXA2 - CO6A2 - ANXA5 - CO6A1 - VWF - CO6A3 - PGBM - FINC - LAMC1 - ANXA6 - VTNC - NID1 - LAMB1 - CSPG2 - LAMA4 - ANXA1 - LG3BP - PGS2",23,"CC"
"metal ion binding","GO:0046872","FIBG - FIBA - HBB - FRIL - AOC3 - HBA - FRIH - ALBU - PERM - TRFL - CRYAB - RS27A - RTN4 - ADH1G - TBA1C - TBA4A - PGBM - EHD2 - CATA - ADH1B - TBB5 - ANXA1 - TBB6",23,"MF"
