"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"nucleotide binding","GO:0000166","ACTH - ACTBL - TBA1C - ASSY - TBA4A - EHD2 - TBB5 - TBB6 - ACSL1 - MYO1C - KATL2 - METK1 - EF1A2 - TERA",14,"MF"
"cytoskeleton","GO:0005856","ACTH - ACTBL - VIME - TBA1C - TBA4A - K2C1 - TBB5 - TBB6 - KATL2 - CLH1 - K1C10 - MVP - K1C18",13,"CC"
"RNA binding","GO:0003723","H4 - FAS - ANXA2 - VIME - ASSY - RTN4 - PSA6 - RS27A - PGS2 - CLH1 - TERA - K1C18",12,"MF"
"endoplasmic reticulum lumen","GO:0005788","ALBU - FIBG - FIBA - CO6A2 - CO6A1 - CO6A3 - LAMC1 - LAMB1 - FINC - LAMB2 - CSPG2 - APOA1",12,"CC"
"proteasome complex","GO:0000502","PSA6 - PSA7 - PSA4 - PSA1 - PSB2 - PSB4 - PSA5 - PSB1 - TERA - PSA3 - PSB3 - PSA2",12,"CC"
"proteasome-mediated ubiquitin-dependent protein catabolic process","GO:0043161","PSA6 - PSA7 - PSA4 - PSA1 - PSB2 - PSB4 - PSA5 - PSB1 - TERA - PSA3 - PSB3 - PSA2",12,"BP"
"protein-containing complex","GO:0032991","H4 - H33 - ALBU - CRYAB - CO6A2 - TRFL - CO6A1 - CATA - CAV1 - TBB5 - CLH1 - TERA",12,"CC"
"hydrolase activity","GO:0016787","ACTH - FAS - TBA1C - TBA4A - TRFL - EHD2 - HYEP - EF1A2 - DNPEP - TERA - LIPS",11,"MF"
"mitochondrion","GO:0005739","CRYAB - ASSY - CO6A1 - PSA6 - CATA - ACSL1 - PSB4 - IDHC - LDHB - LDHA - ANXA6",11,"CC"
"oxidoreductase activity","GO:0016491","AOC3 - FRIH - FAS - ADH1G - PERM - CATA - ADH1B - PH4H - IDHC - LDHB - LDHA",11,"MF"
"proteasome core complex","GO:0005839","PSA6 - PSA7 - PSA4 - PSA1 - PSB2 - PSB4 - PSA5 - PSB1 - PSA3 - PSB3 - PSA2",11,"CC"
"proteolysis involved in protein catabolic process","GO:0051603","PSA6 - PSA7 - PSA4 - PSA1 - PSB2 - PSB4 - PSA5 - PSB1 - PSA3 - PSB3 - PSA2",11,"BP"
"signaling receptor binding","GO:0005102","FIBB - FIBG - A2MG - FIBA - CAV1 - APOF - LAMA4 - FINC - MYO1C - ANXA1 - APOA1",11,"MF"
"structural molecule activity","GO:0005198","FIBB - FIBG - FIBA - CRYAB - TBA1C - LAMB1 - TBB5 - CLH1 - K1C10 - LAMB2 - K1C18",11,"MF"
"extracellular matrix structural constituent","GO:0005201","FIBB - FIBG - FIBA - LAMC1 - VWF - LAMB1 - LAMA4 - NID1 - FINC - LAMB2",10,"MF"
"ficolin-1-rich granule lumen","GO:1904813","HBB - FRIH - CATA - K2C1 - PSA5 - PSB1 - TERA - MVP - IDHC - PSA2",10,"CC"
"synapse","GO:0045202","FIBB - ACTBL - RTN4 - RS27A - GBB4 - EF1A2 - TERA - LAMB2 - CSPG2 - RTN3",10,"CC"
"ATP binding","GO:0005524","ACTH - ACTBL - ASSY - EHD2 - ACSL1 - MYO1C - KATL2 - METK1 - TERA",9,"MF"
"basement membrane","GO:0005604","ANXA2 - CO6A1 - PGBM - LAMC1 - LAMB1 - LAMA4 - NID1 - FINC - LAMB2",9,"CC"
"calcium ion binding","GO:0005509","AOC3 - ANXA2 - EHD2 - ANXA5 - PGBM - NID1 - ANXA1 - CSPG2 - ANXA6",9,"MF"
"immune system process","GO:0002376","FIBB - IGHM - FIBA - HPT - TRFL - IGHA1 - PSA1 - ANXA1 - IGHG2",9,"BP"
"protein heterodimerization activity","GO:0046982","H4 - H2AX - H37 - H33 - AOC3 - CAV1 - K2C1 - K1C10 - H2AY",9,"MF"
"endoplasmic reticulum membrane","GO:0005789","RTN4 - CAV1 - RS27A - HYEP - ACSL1 - EF1A2 - TERA - RTN3",8,"CC"
"enzyme binding","GO:0019899","H2AX - A2MG - TBA4A - CATA - CAV1 - LAMB1 - H2AY - APOA1",8,"MF"
"focal adhesion","GO:0005925","VIME - ANXA5 - PGBM - CATA - CAV1 - CLH1 - ANXA1 - ANXA6",8,"CC"
"inflammatory response","GO:0006954","HBB - HBA - AOC3 - HPT - FAS - CO6A1 - PGBM - ANXA1",8,"BP"
"lipid metabolic process","GO:0006629","FAS - PGBM - ADH1B - APOF - HYEP - ACSL1 - LIPS - APOA1",8,"BP"
"secretory granule lumen","GO:0034774","CATA - PSA5 - PSB1 - TERA - MVP - IDHC - APOA1 - PSA2",8,"CC"
"ubiquitin-dependent protein catabolic process","GO:0006511","PSA6 - PSA7 - PSA4 - PSA1 - PSA5 - TERA - PSA3 - PSA2",8,"BP"
"DNA binding","GO:0003677","H4 - H2AX - H37 - H33 - ALBU - TRFL - H2AY",7,"MF"
